index	name	party	state	Foreign	Education	Individual property	Financial	Military	Law	Health service	Health expenses	Funds	Public transportation
0	Ackerman	D	NY	-4.804399	-2.317344	-3.709479	-2.799244	1.017047	-7.319744	0.625766	-6.540920	-1.084085	-3.414703
1	Alexander	D	AR	-2.483196	1.736470	-2.662876	0.640581	1.855333	-1.531521	-3.519138	-2.760960	1.82691	0.686052
2	Anderson	D	CA	-2.945619	2.078423	-3.00792	-1.528475	-0.03175	-2.997047	1.959159	-1.973086	1.901063	-0.681841
3	Andrews	D	TX	-2.174283	-0.602121	-1.765134	-2.157305	1.174618	0.386348	1.176005	-2.617107	0.530006	1.097693
4	Annunzio	D	IL	-3.350178	-1.519032	-1.914516	-0.038858	-0.117206	-3.045987	-3.80607	-2.165040	1.446767	2.187206
5	Anthony	D	AR	-2.507913	0.289305	-2.037169	0.871496	2.868382	-2.211626	-0.161403	-2.368505	1.878866	0.053634
6	Applegate	D	OH	-2.249425	-3.151677	-1.913673	-1.293356	0.368693	-1.851209	-4.2173	-2.041157	-5.034142	0.586948
7	Archer	R	TX	4.078757	2.490248	5.788544	3.473835	0.000525	1.151257	4.778878	6.127295	-2.921451	-1.399053
8	Armey	R	TX	5.436244	4.139019	6.677769	7.662535	2.369069	2.143659	5.537242	8.147869	-3.124334	0.655340
9	Aspin	D	WI	-2.618707	1.651475	-3.03558	-1.85564	3.257219	-0.787581	-2.10054	-4.118999	0.600809	-1.646196
10	Atkins	D	MA	-2.729399	-2.385072	-1.762561	0.328793	-2.994977	-1.984817	-0.117265	-3.794046	0.974274	-4.402606
11	AuCoin	D	OR	-1.598489	-0.566198	-3.547173	-0.107636	-3.427444	-0.981971	-1.250724	-3.664986	1.411403	-0.755156
12	Baker	R	LA	3.824819	1.203634	2.91352	2.855334	5.105295	-1.421845	3.001333	4.991913	-1.238535	1.687746
13	Ballenger	R	NC	4.483420	1.270467	4.306517	3.831296	0.644226	1.031038	3.415947	4.296055	-0.184111	3.119945
14	Barnard	D	GA	-0.947718	0.343732	-0.493597	-0.93184	3.813041	-0.009605	-1.095641	-1.171579	-1.321066	2.922674
15	Bartlett	R	TX	4.897788	1.427825	5.276566	2.301219	1.71135	-0.358946	2.827446	4.052996	-1.835328	-1.408419
16	Barton	R	TX	3.417019	0.454086	4.146596	0.500947	-0.531687	-0.16787	1.498185	4.979870	-3.976961	2.863993
17	Bateman	R	VA	2.626839	7.188980	1.908934	1.771359	7.143816	-1.652743	2.171433	2.615410	0.89381	0.045200
18	Bates	D	CA	-2.073876	-1.949130	-1.418041	-1.661529	-1.234704	3.230005	0.584892	-3.164119	-1.630808	-3.374317
19	Beilenson	D	CA	-2.717374	1.094952	-2.853178	-6.095078	-2.684386	0.006564	0.334051	-3.667762	-0.12468	-9.353876
20	Bennett	D	FL	-1.090559	-2.153116	-0.652431	-0.422946	1.096783	0.125879	-1.544791	-0.769572	-0.0371	0.421219
21	Bentley	R	MD	2.900883	1.134904	1.968304	0.622903	2.339694	1.598816	-0.105718	3.069033	2.410685	-0.733023
